station_a,station_b,num_trains
FM,HPG,76
FM,NSVP,40
HPG,YKA,111
YKA,DQR,111
DQR,MXT,112
MXT,KCG,104
KCG,VAR,100
VAR,JOO,104
JOO,ATC,104
ATC,STPD,104
STPD,SC,76
STPD,LGDH,22
SC,JET,128
SC,LGDH,25
SC,MLY,83
SC,BZA,1
JET,SJVP,137
SJVP,BMT,133
SJVP,NLRD,4
BMT,NCHS,165
BMT,NLRD,102
BMT,YG,2
BMT,RC,2
NCHS,FNB,164
NCHS,SNF,1
FNB,SNF,162
FNB,BTNR,2
SNF,BTNR,163
BTNR,BRBD,165
BRBD,HTCY,165
HTCY,HFZ,165
HFZ,CDNR,165
CDNR,LPI,111
PNQ,TCR,164
PNQ,AMLR,12
PNQ,MGK,155
TCR,OLR,161
AMLR,GUV,6
PBR,RWO,12
PBR,JAM,1
RWO,RNBD,24
RNBD,SKR,24
SKR,WSJ,24
WSJ,BNVD,16
WSJ,KTLA,6
BNVD,GOP,14
GOP,LPJ,14
LPJ,KNLS,13
KNLS,PPLI,40
KNLS,MDPR,28
PPLI,LKBL,40
LKBL,JAM,39
LKBL,HAPA,1
JAM,HAPA,42
HAPA,ALB,49
ALB,WTJ,52
WTJ,JALD,50
WTJ,HM,2
JALD,CX,44
JALD,HM,6
CX,PDH,48
CX,HM,4
PDH,KHDI,52
PDH,HM,4
KHDI,RJT,51
RJT,BLWR,68
RJT,BKNG,20
BLWR,KHC,70
KHC,KNKT,70
KNKT,SDD,70
SDD,AXA,70
AXA,WKRC,70
WKRC,WKR,70
WKR,LXR,72
WKR,MVI,2
LXR,DL,72
DL,LMC,72
LMC,THAN,72
THAN,VD,72
VD,RA,72
RA,MOL,72
MOL,DXR,72
DXR,CJR,72
CJR,SUNR,72
SUNR,BLRD,75
BLRD,LTR,78
LTR,LPR,70
LTR,SRGT,18
LTR,VG,10
LPR,SR,70
SR,KHRS,70
KHRS,VNRD,70
VNRD,VG,69
VG,JKA,93
VG,JN,16
VG,JKS,4
JKA,VCN,94
VCN,CE,94
CE,WSE,94
WSE,SAU,94
SAU,GGM,94
GGM,ABD,94
ABD,SBI,82
ABD,SBT,10
ABD,ADI,1
MB,KGF,142
MB,HRH,77
MB,GOT,3
MB,LPB,88
MB,RMR,2
MB,MCV,24
MB,AII,2
MB,ANVT,1
MB,KGM,1
MB,BSB,2
MB,PLS,2
MB,LDP,1
MB,SCC,1
SBI,SBT,149
SBI,ADI,53
SBI,KLRD,8
SBI,KHD,9
SBI,CLDY,1
SBT,ADI,96
SBT,KLRD,64
SBT,CLDY,2
SBT,KHD,6
SBT,KLL,2
ADI,MAN,144
ADI,BRC,1
ADI,NEP,1
ADI,KEB,1
ADI,ASV,7
ADI,CLDY,1
ADI,BIM,1
ADI,LGH,1
KLRD,CDK,72
CDK,CLDY,63
CDK,KHD,8
CDK,SHRD,1
CLDY,KHD,54
CLDY,SHRD,1
KHD,SHRD,73
KHD,KLL,4
SHRD,KLL,75
KLL,CTRL,69
KLL,EN,8
KLL,AJM,10
KLL,JUL,2
CTRL,EN,65
CTRL,KADI,4
EN,PN,73
PN,JUL,73
JUL,GUS,68
JUL,DNW,7
GUS,DNW,68
DNW,KYSD,68
DNW,UMN,7
KYSD,UMN,68
UMN,JDN,74
UMN,MSH,1
JDN,SXS,68
JDN,MSH,6
SXS,MSH,62
MSH,BHU,62
MSH,LCH,4
MSH,PHC,6
BHU,UJA,62
UJA,KMLI,62
KMLI,SID,62
SID,DRW,62
DRW,CHP,62
CHP,UM,62
UM,PNU,62
PNU,KRJD,60
PNU,CDQ,7
KRJD,CTT,60
CTT,JTY,60
JTY,IQG,60
IQG,SZA,60
SZA,SIM,60
SIM,MAA,60
MAA,ABR,60
ABR,MXO,60
MXO,KWI,60
KWI,BMN,60
BMN,SRPJ,60
SRPJ,BNS,60
BNS,SOH,60
SOH,KVJ,60
KVJ,NANA,60
NANA,KTR,60
KTR,MOI,60
MOI,JWB,60
JWB,BRLY,60
BRLY,FA,60
FA,KZQ,60
KZQ,RANI,60
RANI,BGPR,60
BGPR,JAL,60
JAL,SOS,60
SOS,BWA,60
BWA,BGG,60
BGG,AUWA,60
AUWA,MJ,60
MJ,DRS,38
MJ,RKZ,26
MJ,MRWS,2
DRS,BFY,38
BFY,SOD,38
SOD,BQN,38
BQN,BGX,38
BGX,CNL,38
CNL,GRI,38
GRI,HP,38
HP,BAR,38
BAR,SEU,38
SEU,APA,38
APA,BER,38
BER,PPF,39
PPF,KRW,40
KRW,LNA,40
LNA,MLI,40
MLI,MKRA,40
MKRA,SDH,40
SDH,DOZ,40
DOZ,AII,34
AII,MD,52
AII,AHO,16
AII,COR,1
AII,DLI,1
MD,LR,65
LR,GEK,65
GEK,KSG,65
KSG,TL,65
TL,GLTA,65
GLTA,SALI,65
SALI,SK,65
SK,NRI,65
NRI,FL,65
FL,HDA,100
FL,SBR,40
FL,PKBS,5
HDA,DHND,101
DHND,JOB,101
JOB,BOBS,101
BOBS,SHNX,101
SHNX,DNK,101
DNK,KKU,101
KKU,JP,91
KKU,GADJ,1
JP,GADJ,72
JP,BSGD,31
JP,RMA,2
JP,DKBJ,9
JP,RE,1
GADJ,GTJT,79
GTJT,KWP,79
KWP,KUT,79
KUT,BAI,79
BAI,JHIR,79
JHIR,BSKO,79
BSKO,JW,79
JW,BNDN,79
BNDN,DO,79
DO,BAK,79
BAK,KVGM,79
KVGM,ARNA,79
ARNA,BKI,79
BKI,GLNA,52
BKI,SHGN,31
GLNA,BU,53
BU,SRRG,53
SRRG,RHG,53
RHG,DGW,53
DGW,MKH,53
MKH,MWW,53
MWW,AWR,53
AWR,PSL,53
AWR,OTD,5
PSL,GAL,53
GAL,KRH,53
KRH,HSI,53
HSI,KNAR,53
KNAR,AIA,53
AIA,MJNL,53
MJNL,BWL,53
BWL,KNGT,53
KNGT,RE,52
KNGT,KGBS,1
RE,KWMD,61
RE,KGBS,16
RE,NNU,11
RE,KORI,5
KWMD,KIP,71
KIP,IHP,71
IHP,PTRD,71
PTRD,JSKA,71
JSKA,PT,71
PT,GHH,71
GHH,BDXT,75
GHH,FN,2
BDXT,GGN,75
GGN,BWSN,75
BWSN,SMDP,75
SMDP,PM,75
PM,DEC,75
DEC,KRTN,61
DEC,DLI,9
DEC,DSA,1
DEC,PTNR,2
KRTN,PTNR,75
KRTN,NRVR,14
PTNR,DBSI,75
PTNR,DEE,2
DBSI,DEE,87
DBSI,SSB,58
DBSI,VVKP,23
DBSI,NDAZ,4
DBSI,DKZ,1
DEE,DKZ,73
DKZ,DSB,83
DKZ,VVKP,23
DKZ,DLI,11
DSB,DLI,39
DSB,NDLS,78
DSB,SZM,54
DSB,CSB,5
DLI,DSA,84
DLI,SZM,22
DLI,VVB,1
DLI,HRS,1
DLI,CDL,1
DSA,VVB,103
DSA,BHHZ,16
DSA,VVKP,3
DSA,SBB,1
VVB,SBB,103
SBB,GZB,280
SBB,CNJ,172
SBB,VVKP,3
SBB,ANVT,2
GZB,MFH,97
GZB,MIU,126
GZB,GZN,55
GZB,MUD,2
MFH,AKNR,98
AKNR,DS,98
DS,PKW,98
PKW,KKMB,98
KKMB,HPU,97
HPU,BBO,99
HPU,KALI,10
HPU,HZR,12
BBO,QXR,100
QXR,GMS,99
QXR,SMBL,1
GMS,SMBL,123
SMBL,GGB,100
GGB,KHE,100
KHE,GJL,100
GJL,MHHR,99
GJL,SEPR,12
MHHR,KFPR,100
KFPR,AMRO,100
AMRO,KIV,100
KIV,CKLT,100
CKLT,HKP,100
HKP,LDP,100
LDP,LPB,98
LPB,KGF,6
KGF,KGFR,154
KGF,DLP,2
KGF,HRH,1
KGFR,DLP,144
KGFR,GOT,10
DLP,MPH,146
MPH,RMU,146
RMU,SAR,138
RMU,KEMR,14
RMU,CHRU,2
SAR,DAM,138
DAM,DUN,138
DUN,MIL,138
MIL,NRS,138
NRS,DAN,138
DAN,BTO,138
BTO,PKRA,138
PKRA,CBJ,138
CBJ,BC,122
CBJ,BE,14
BC,BE,122
BC,BRY,20
BC,IZN,28
BE,CHTI,148
BE,RGB,17
BE,SCC,2
CHTI,RYS,157
CHTI,RGB,2
RYS,PMR,157
PMR,TSA,157
TSA,BLPU,157
BLPU,KSRK,151
BLPU,MK,6
KSRK,MK,151
MK,TLH,156
MK,BHDH,1
TLH,BHDH,156
TLH,BSB,1
BHDH,BTRA,157
BTRA,SPN,156
BTRA,ROZA,1
SPN,ROZA,149
SPN,SXK,5
SPN,KGM,1
SPN,SCC,4
ROZA,KH,146
ROZA,UCH,11
ROZA,SXK,7
KH,AIG,146
AIG,AJI,146
AJI,SHRM,146
SHRM,TDP,146
TDP,BEG,146
BEG,KUF,146
KUF,HRI,146
HRI,KAR,146
KAR,MST,146
MST,BGH,146
BGH,BLM,145
BLM,DLQ,143
BLM,GNTR,2
BLM,GSGJ,3
BLM,GAJU,3
DLQ,UTA,144
UTA,SAN,142
UTA,RBD,2
SAN,RBD,142
SAN,ALD,2
RBD,DIL,144
DIL,MLD,144
MLD,KKJ,144
KKJ,AMG,144
AMG,LKO,135
AMG,LJN,1
LKO,ML,84
LKO,UTR,102
LKO,LJN,69
LKO,MKG,3
LKO,ZBD,2
LKO,SHG,1
LKO,GD,1
ML,JRR,129
ML,GTNR,48
ML,SFH,4
JRR,SFH,129
SFH,BBK,133
BBK,JBR,80
BBK,RES,53
JBR,RFR,80
RFR,BUR,80
BUR,BUW,80
BUW,CKG,92
BUW,SDAM,9
BUW,SHC,1
CKG,GHT,93
GHT,JLD,93
JLD,SUJ,93
SUJ,CLJ,93
CLJ,KSR,93
KSR,MIR,93
MIR,KTHL,93
KTHL,GDK,93
GDK,GD,89
GD,BRCK,92
GD,SUBR,5
GD,GADM,6
GD,PDR,1
GD,SCC,2
GD,BGAN,2
BRCK,MOTG,96
MOTG,JLHI,96
JLHI,MUR,96
MUR,LKNR,100
MUR,TRE,15
LKNR,MSW,100
MSW,SNC,100
SNC,BNGY,100
BNGY,BV,100
BV,GAUR,100
GAUR,TH,100
TH,GOVR,100
GOVR,BST,100
BST,MND,94
BST,ORW,6
MND,CRV,100
MND,ORW,6
CRV,KLD,100
KLD,MHH,100
MHH,SWA,93
MHH,SIPR,7
SWA,JTB,100
SWA,SIPR,7
JTB,DMG,100
DMG,GKP,83
GKP,GKC,91
GKP,JEA,7
GKP,SCC,1
GKC,UNLA,29
GKC,KHM,86
UNLA,PPC,29
PPC,MUUA,29
MUUA,BBW,29
BBW,CPJ,29
CPJ,KSNR,29
KSNR,GH,29
GH,SBZ,29
SBZ,GRRG,29
GRRG,KZA,29
KZA,PNYA,29
PNYA,VKNR,28
PNYA,MKI,1
VKNR,AWS,28
AWS,BUG,28
BUG,KPB,28
KPB,BRU,28
BRU,HIR,28
HIR,CAMU,28
CAMU,NKE,27
NKE,SAHI,28
NKE,GKA,3
NKE,AMO,3
SAHI,CAI,32
CAI,KUMB,32
KUMB,BTH,32
BTH,MJL,32
MJL,SGL,31
SGL,SRA,39
SGL,RGH,18
SRA,BMKI,39
BMKI,MKI,38
MKI,JDR,38
JDR,PPA,38
PPA,CAA,38
CAA,HRNG,38
HRNG,MAI,38
MAI,MHL,37
MAI,MTR,1
MHL,MTR,37
MTR,NRV,38
NRV,KTI,38
KTI,KVC,38
KVC,MFP,29
R,SRWN,110
R,WRC,100
R,MNDH,22
SRWN,SZB,113
SRWN,KMI,1
SZB,KMI,114
SZB,URK,1
KMI,DBEC,115
DBEC,BIA,108
DBEC,DURG,7
BIA,BPHB,108
BPHB,BQR,108
BQR,DURG,95
DURG,RSM,84
DURG,MUP,1
DURG,MXA,3
RSM,MUP,84
MUP,PMS,84
MUP,RJN,1
PMS,RJN,84
RJN,BAKL,84
RJN,MUA,1
BAKL,MUA,84
MUA,JTR,85
JTR,DGG,85
DGG,PJB,85
PJB,BTL,85
BTL,DKS,85
DKS,SKS,85
SKS,DNL,84
SKS,AGN,1
DNL,AGN,84
AGN,GDM,85
GDM,G,82
G,GJ,76
G,HDM,9
GJ,KWN,79
KWN,TRO,79
TRO,MNU,79
MNU,TMR,79
TMR,KOKA,80
TMR,TMS,3
TMR,BRD,1
KOKA,BRD,80
BRD,KHAT,81
KHAT,RRL,81
RRL,TAR,81
TAR,CHCR,81
CHCR,SAL,81
SAL,KNHN,81
KNHN,KP,87
KNHN,RTK,2
KNHN,DKU,1
KP,KAV,87
KAV,ITR,65
KAV,NGP,17
GMO,MRQ,68
GMO,NMG,91
GMO,TELO,29
GMO,KNF,1
GMO,KHRI,1
GMO,MHQ,8
GMO,KARO,1
MRQ,NPJE,71
NPJE,TET,71
TET,BHN,71
BHN,DHN,65
DHN,PKA,16
DHN,DOKM,77
DHN,KDS,29
PKA,CAM,94
PKA,DOKM,83
PKA,RKJE,10
CAM,KAO,94
KAO,TNW,94
TNW,MMU,94
MMU,KMME,94
KMME,BRR,94
BRR,ULT,94
ULT,STN,92
ULT,SLS,2
STN,BCQ,185
STN,SLS,117
BCQ,ASN,172
RBL,RUM,44
RBL,GANG,59
RBL,DYP,23
RUM,FTG,46
FTG,JAIS,46
JAIS,KCJ,46
KCJ,BANI,46
BANI,GNG,46
GNG,TLKH,46
TLKH,AME,46
AME,MFL,46
MFL,SHJP,46
SHJP,ANTU,45
SHJP,CIL,1
ANTU,JGJ,45
JGJ,CIL,45
CIL,PBH,50
CIL,KDF,10
PBH,VPO,20
PBH,PHV,25
VPO,BTJ,20
BTJ,DHRJ,20
DHRJ,MEM,20
MEM,SWE,20
SWE,PFM,20
PFM,PRG,63
PFM,SPGL,21
PFM,SYC,24
PFM,THW,4
PRG,ALD,49
ALD,NYN,200
ALD,SFG,134
ALD,ALY,30
ALD,IDGJ,3
ALD,COI,3
ALD,TIL,2
NYN,IDGJ,77
NYN,COI,145
IDGJ,JSR,107
IDGJ,COI,25
JSR,MFX,107
MFX,LOG,107
LOG,SRJ,107
SRJ,MJHR,107
MJHR,BRG,107
BRG,KTDD,107
KTDD,DBR,107
DBR,PNHI,107
PNHI,MKP,107
MKP,BNSP,104
MKP,BIP,22
BNSP,BQF,106
BQF,MKD,107
BQF,BIP,1
MKD,TKYR,107
TKYR,MJG,107
MJG,CTHR,107
CTHR,KTHA,107
KTHA,JTW,107
JTW,HATI,107
HATI,SAGM,107
SAGM,STA,105
STA,LGCE,113
STA,BGHI,2
STA,KMA,8
STA,TZR,2
LGCE,UHR,115
UHR,MYR,115
MYR,BUU,115
BUU,UDR,115
UDR,PKRD,115
PKRD,JKE,115
JKE,PTWA,115
PTWA,KTE,114
KTE,MDRR,109
KTE,NKJ,20
KTE,KMZ,19
KTE,MJGP,1
MDRR,NWR,117
MDRR,NKJ,5
MDRR,JLW,1
NWR,SNRR,117
SNRR,SBD,117
SBD,DDCE,117
DDCE,SHR,117
SHR,GSPR,117
GSPR,DOE,117
DOE,ADTL,111
DOE,JBP,6
ADTL,JBP,96
ADTL,HBG,3
JBP,HBG,69
JBP,MML,37
JBP,NIR,1
JBP,NDLS,1
HBG,MML,72
HBG,GRG,14
MML,KEQ,109
KEQ,BRGT,109
BRGT,BHTN,109
BHTN,BMR,109
BMR,SRID,109
SRID,KKB,109
KKB,BELD,109
BELD,GPC,109
GPC,NU,109
NU,KY,109
KY,KFY,109
KFY,BNE,109
BNE,GAR,109
GAR,SCKR,109
SCKR,JHT,109
JHT,BKH,109
BKH,PPI,109
PPI,SXF,109
SXF,SGP,109
SGP,GMD,109
GMD,BGTA,109
BGTA,SQL,109
SQL,GRO,109
GRO,ET,105
ET,DRA,135
ET,PRKD,189
ET,KRTH,131
DRA,KTZ,137
KTZ,DKI,137
DKI,BPF,137
BPF,BIF,137
BIF,PGL,137
PGL,CGO,137
CGO,TBN,137
TBN,CRK,137
CRK,HD,137
HD,PAL,137
PAL,MUO,137
MUO,BRI,137
BRI,KRO,137
KRO,KKN,137
KKN,DRHI,137
DRHI,BRUD,137
BRUD,CAER,137
CAER,SGBJ,65
CAER,KHA,67
CAER,TLV,5
SGBJ,MTA,127
SGBJ,KHA,67
SGBJ,TLV,5
MTA,KNW,134
MTA,TLV,12
MTA,BMA,1
KNW,BMA,136
KNW,ANI,9
KNW,MRDD,8
KNW,TLV,6
KNW,BSL,1
BMA,KDK,137
KDK,DGN,137
DGN,MWA,137
MWA,NPNR,137
NPNR,CDI,137
CDI,AGQ,137
AGQ,BAU,137
BAU,WGA,137
WGA,RV,137
RV,NB,137
NB,SAV,137
SAV,DSK,137
DSK,BSL,130
DSK,VNA,4
BSL,BDI,209
BSL,VNA,81
BDI,TRW,214
TRW,JL,214
JL,SS,177
JL,PLD,45
SS,MWD,177
MWD,MYJ,177
MYJ,PHQ,177
PHQ,PC,177
PC,GAA,177
GAA,NGD,177
NGD,KJ,177
KJ,VGL,177
VGL,CSN,177
CSN,HPR,179
CSN,BFJ,5
HPR,RHNE,179
RHNE,NI,179
NI,PKE,179
PKE,NGN,179
NGN,PJN,179
PJN,HSL,179
HSL,PNV,179
PNV,MMR,179
MMR,SUM,137
MMR,ANK,103
MMR,IGP,1
MMR,NSL,1
MMR,YL,1
SUM,LS,141
LS,UGN,141
UGN,NR,141
NR,KBSN,141
KBSN,KW,141
KW,ODHA,141
ODHA,NK,141
NK,DVL,140
DVL,LT,139
LT,AV,139
AV,GO,139
GO,IGP,138
IGP,KSRA,138
KSRA,KE,138
KE,ATG,138
ATG,ASO,138
ASO,VSD,138
VSD,KDV,138
KDV,TLA,138
TLA,ABY,138
ABY,SHAD,138
SHAD,KYN,138
KYN,THK,239
KYN,VLDI,101
THK,DI,239
DI,KOPR,237
DI,DTVL,2
KOPR,DIVA,195
KOPR,BIRD,60
KOPR,DTVL,21
KOPR,PNVL,1
DIVA,TNA,66
DIVA,MBQ,147
DIVA,DTVL,24
TNA,MLND,213
TNA,KLVA,147
MLND,NHU,213
NHU,BND,213
BND,KJMG,213
KJMG,VK,213
VK,GC,213
GC,VVH,213
VVH,CLA,32
VVH,LTT,135
BAJE,SBHR,5
BAJE,KDBA,6
SBHR,YDK,4
KDBA,YDM,6
YDM,KNYR,6
KNYR,NRJ,6
NRJ,KBPR,6
KBPR,BNTL,8
BNTL,MAJN,10
MAJN,MAQ,7
MAJN,TOK,43
MAJN,ULL,37
ERS,TNU,48
ERS,ERN,118
ERS,TRTR,57
TNU,KUMM,52
KUMM,AROR,52
AROR,EZP,52
EZP,TUVR,52
TUVR,VAY,52
VAY,SRTL,52
SRTL,TRVZ,52
TRVZ,MAKM,52
MAKM,KAVR,52
KAVR,TMPY,52
TMPY,ALLP,46
DRBR,SRU,5
DRBR,STZ,6
SRU,POKL,38
SRU,LRD,34
STZ,BHJ,3
BIR,KHA,4
KHA,TLV,8
ASN,BURN,36
ASN,KPK,148
ASN,SDAH,1
ASN,KOAA,2
BURN,DMA,43
DMA,MDKD,43
MDKD,MDF,43
MDF,RKI,43
RKI,BERO,43
BERO,JOC,43
JOC,ADRA,25
JOC,GRB,17
ADRA,GRB,28
ADRA,MYX,46
ADRA,SNKR,15
GRB,ANR,46
ANR,BGA,46
BGA,KSU,46
KSU,CHRA,46
CHRA,PRR,41
PRR,GTD,22
PRR,TAO,37
PRR,BJE,2
GTD,CAS,22
CAS,GUG,22
GUG,KSX,22
KSX,DRGU,60
KSX,JAA,63
KSX,BKDR,1
DRGU,PNW,60
PNW,RDF,60
RDF,BKSC,57
BNSA,TPU,4
BNSA,CKK,9
CKK,KHMA,9
KHMA,MJZ,9
MJZ,NRY,9
NRY,PBE,8
PBE,PP,10
PBE,MLN,1
PBE,MALA,2
PBE,SSC,8
PBE,DYU,6
PBE,SG,1
PBE,BJV,8
PBE,PUF,3
PBE,BFPA,1
PBE,PTPR,2
PP,DYK,23
PP,SG,9
PP,PRSP,4
DYK,KRYA,23
KRYA,SW,23
SW,ALNP,19
SW,MLN,4
ALNP,MLN,15
ALNP,BNKJ,1
MLN,BNKJ,20
MLN,RNIR,7
MLN,BIK,4
BNKJ,GK,24
GK,RZJ,14
GK,LMP,2
GK,BFV,8
RZJ,PD,22
RZJ,BFV,8
PD,DEO,22
DEO,LMP,21
LMP,KITN,20
LMP,KDPS,1
LMP,OEL,1
KITN,HA,11
KITN,OEL,7
KITN,KDPS,2
HA,JKP,19
HA,OEL,11
HA,STP,2
HA,PMM,1
JKP,STP,19
JKP,PMM,1
STP,KB,20
STP,SD,2
KB,BJLP,19
KB,KMP,3
BJLP,KMP,18
BJLP,SUIA,1
KMP,SD,15
KMP,SUIA,6
SD,AA,15
SD,SUIA,7
SD,MANW,7
SD,BKT,2
AA,IJ,22
AA,MANW,7
IJ,BKT,21
IJ,MBP,1
BKT,MBP,23
MBP,DAL,12
DAL,LC,60
DAL,BNZ,48
LC,ASH,54
BTD,LTD,18
BTD,KDI,17
BTD,SAPR,2
LTD,NGA,19
NGA,ALMR,19
ALMR,UJ,19
UJ,DLJ,19
DLJ,SOA,19
DLJ,JA,3
DLJ,DAS,2
SOA,BJUD,19
BJUD,SGD,19
SGD,SOJN,19
SOJN,KDMR,25
SOJN,KNAD,8
KDMR,VTJ,25
VTJ,NROD,25
NROD,BVP,24
BVP,BVC,12
MFP,RD,77
MFP,NRPA,78
RD,TUR,84
TUR,KHI,84
KHI,GRL,84
GRL,BNR,84
BNR,BTHL,84
BTHL,SAI,84
SAI,HJP,83
HJP,SEE,102
HJP,AYRN,27
SEE,PMU,100
PMU,NYO,103
NYO,STLR,103
STLR,DGA,103
DGA,ATNR,102
DGA,BAGL,1
ATNR,BAGL,101
ATNR,CI,1
BAGL,DRI,101
BAGL,GJH,1
DRI,GJH,99
DRI,CI,2
GJH,CPR,98
GJH,CI,1
CPR,GTST,48
CPR,KPS,64
CPR,CI,26
GTST,MHT,54
MHT,BKLA,54
BKLA,SIP,54
SIP,DCP,54
DCP,ROI,54
ROI,STW,54
STW,CATA,48
STW,BCD,6
CATA,BCD,48
BCD,BUI,53
BUI,SVI,55
SVI,PEP,58
PEP,CBN,42
PEP,CHR,14
PEP,MAU,2
CBN,TJD,42
TJD,KMDR,42
KMDR,DDD,42
DDD,YFP,42
YFP,SBK,42
SBK,GZT,41
GZT,GCT,42
GCT,AKS,42
AKS,SAHR,42
SAHR,NDJ,42
NDJ,BSCK,42
BSCK,TRN,42
TRN,SYH,42
SYH,ARJ,42
ARJ,RJI,66
ARJ,MHO,36
ARJ,DHE,1
ARJ,FRDH,1
RJI,KDQ,66
KDQ,SRNT,66
SRNT,BCY,65
BCY,BSB,60
BSB,SOP,72
BSB,KEI,84
BSB,MUV,40
BSB,CHH,27
BSB,LOT,2
SOP,BRPT,85
BRPT,BTP,85
BTP,PDRD,85
PDRD,KSF,85
KSF,TLMD,85
TLMD,JLL,85
JLL,SIQ,85
SIQ,ZBD,85
ZBD,JOP,47
ZBD,JNU,52
ZBD,KJTW,12
JOP,BKSA,47
BKSA,SVZ,47
SVZ,SKN,47
SKN,HRPG,47
HRPG,KEPR,47
KEPR,MWP,47
MWP,LBA,47
LBA,BDIN,47
BDIN,PKX,47
PKX,SLN,45
SLN,BDKN,48
SLN,PPU,10
SLN,KBE,6
SLN,DWJ,4
BDKN,SHNG,53
SHNG,MFKA,53
MFKA,AHZ,53
AHZ,NHH,53
NHH,SYW,53
SYW,AKJ,53
AKJ,CHBS,53
CHBS,HGH,53
HGH,TEG,53
TEG,CDRL,53
CDRL,RMNR,53
RMNR,APG,53
APG,UTR,49
APG,BKKS,4
UTR,MLJ,59
UTR,BKKS,4
HRH,AWP,79
AWP,MTB,79
MTB,KNT,79
KNT,MWE,79
MWE,SEO,79
SEO,CAJ,79
CAJ,DPR,79
DPR,HBW,79
HBW,PNI,79
PNI,NGG,79
NGG,BEK,79
BEK,MSDR,79
MSDR,NBD,79
NBD,FZL,85
NBD,SNX,7
NBD,CNK,1
NBD,KTW,2
NBD,MZM,1
FZL,CNK,78
FZL,MZM,21
FZL,SNX,1
CNK,BLW,81
CNK,MZM,2
BLW,RSI,81
RSI,LRJ,81
LRJ,DSNI,101
LRJ,ATMO,66
DSNI,LDR,103
DSNI,ATMO,2
LDR,DNRA,103
DNRA,RK,103
RK,IQB,103
IQB,CDL,102
IQB,SNKE,1
CDL,SNKE,102
SNKE,BAE,103
BAE,SRE,83
BAE,TPZ,16
BAE,PKY,1
SRE,PKY,86
SRE,TPZ,45
SRE,DDN,1
PKY,SSW,88
SSW,KNZ,88
KNZ,JUD,88
JUD,JUDW,88
JUDW,DZP,88
DZP,MFB,88
MFB,RAA,88
RAA,TDW,88
TDW,KES,88
KES,DOKY,88
DOKY,UMB,84
BRMP,KRMD,1
KRMD,ROU,2
ROU,BNDM,64
ROU,PPO,69
ROU,NUQ,1
ROU,ORGA,1
ROU,NXN,4
ROU,BZR,1
BNDM,DMF,2
BNDM,ORGA,1
BNDM,BZR,49
BNDM,BGKA,2
BNDM,HTE,7
BNDM,NXN,2
DMF,LTK,2
LTK,CJQ,2
CJQ,CPE,2
CPE,PSJ,2
PSJ,BUF,2
BUF,BXF,1
PTN,RUJ,4
PTN,SNHR,1
RUJ,DHJ,10
RUJ,CSMA,2
RUJ,SNHR,1
DHJ,PHC,10
BNXR,SDAH,40
BNXR,DDJ,73
SDAH,PQS,6
SDAH,DGR,1
DDJ,BLH,70
DDJ,BARN,29
DDJ,PTKR,29
DDJ,DDC,3
BLH,AGP,70
AGP,SEP,70
SEP,KDH,70
KDH,TGH,70
