station_a,station_b,num_trains
TGH,BP,70
BP,PTF,70
PTF,IP,70
IP,SNR,70
SNR,JGDL,70
JGDL,KNR,70
KNR,NH,70
NH,HLR,33
NH,GFAE,32
NH,BWN,5
HLR,KPA,33
KPA,KYI,32
KYI,MPJ,32
MPJ,SMX,32
SMX,PXR,32
PXR,CDH,32
CDH,PDX,32
PDX,RHA,32
RHA,BNKA,13
RHA,KLNP,21
BNKA,PNCB,13
PNCB,AG,13
AG,BHGH,13
BHGH,BHNA,13
BHNA,BGL,13
BGL,MYHT,13
MYHT,TNX,13
TNX,MIJ,13
MIJ,BPN,13
BPN,HRSR,13
HRSR,GEDE,6
HRSR,DHCA,2
KSW,PPR,51
KSW,AAS,51
PPR,SWF,49
AAS,JWL,51
JWL,BNO,51
BNO,RKB,51
RKB,JU,43
RKB,MMC,8
BXR,CSA,124
BXR,BUE,127
BXR,PWXP,1
CSA,BQW,131
CSA,PWXP,1
BQW,GMR,131
GMR,KKRH,131
KKRH,BWH,131
BWH,USK,131
USK,DLN,131
DLN,DRV,132
DRV,ZNA,133
ZNA,BHCL,133
BHCL,DHA,133
DHA,TLAM,133
TLAM,SLD,133
SLD,KCA,133
KCA,MGS,127
HWH,TPKR,91
HWH,LLH,84
HWH,MURI,1
TPKR,DSNR,154
DSNR,RMJ,154
RMJ,SRC,153
SRC,MRGM,177
SRC,PDPK,21
MRGM,ADL,180
ADL,SEL,180
SEL,ABB,180
ABB,NALR,180
NALR,BVA,180
BVA,CGA,180
CGA,FLR,180
FLR,ULB,180
ULB,BSBP,180
BSBP,KGY,180
KGY,BZN,180
BZN,GGTA,180
GGTA,DTE,180
DTE,KIG,176
DTE,MCA,3
KIG,MCA,175
MCA,NDGJ,178
NDGJ,BOP,178
BOP,NPMR,177
NPMR,PKU,156
BWN,TIT,209
BWN,GRP,181
TIT,KAN,218
KAN,JTL,79
KAN,GLI,139
JTL,BPS,79
BPS,NRX,74
BPS,GKH,5
NRX,GKH,74
GKH,PCQ,79
PCQ,BDH,79
BDH,BHP,77
BHP,PNE,75
PNE,KPLE,75
KPLE,AMP,75
AMP,BSLE,75
BSLE,SNT,75
SNT,GHLE,91
SNT,SURI,19
GHLE,MLV,91
MLV,TPF,87
MLV,RPH,4
TPF,RPH,78
CSB,NDLS,130
CSB,TKJ,197
TKJ,ANVR,116
TKJ,PGMD,77
ANVR,ANVT,132
ANVR,CNJ,12
ANVR,PGMD,28
ANVT,CNJ,146
MIU,DER,126
DER,BRKY,126
BRKY,AJR,126
AJR,DKDE,126
DKDE,WAIR,126
WAIR,CHL,126
CHL,GNRL,126
GNRL,SKQ,126
SKQ,KRJ,126
KRJ,KAMP,128
KRJ,KJY,5
KAMP,DAR,128
DAR,SOM,128
SOM,KLA,128
KLA,MWUE,128
MWUE,ALJN,127
MWUE,DAQ,1
ALJN,DAQ,134
ALJN,MZGI,10
DAQ,MXK,135
MXK,SNS,135
SNS,HRS,134
SNS,PORA,1
HRS,PORA,134
PORA,JLS,134
PORA,TDL,1
JLS,CMR,134
CMR,BRN,134
BRN,TDL,132
BRN,SWW,4
BRN,MTI,4
TDL,HNG,188
TDL,ETUE,60
TDL,MTI,4
HNG,FZD,189
FZD,MNR,189
MNR,SKB,189
SKB,KAA,185
SKB,MNQ,2
SKB,BUBT,3
KAA,BDN,185
BDN,BBL,185
BBL,JGR,185
JGR,SB,185
SB,ETW,185
ETW,EKL,185
EKL,BNT,185
BNT,SHW,185
SHW,GHSR,185
GHSR,ULD,185
ULD,PATA,185
PATA,PHD,185
PHD,KNS,185
KNS,PJY,185
PJY,JJK,185
JJK,AAP,185
AAP,RURA,185
RURA,RMW,185
RMW,MTO,185
MTO,BPU,185
BPU,PNK,185
PNK,GOY,185
GOY,CNB,207
CNB,CNBI,142
CNB,BZM,68
CNB,CPB,120
CNB,CPA,16
CNBI,CHK,143
CHK,RXM,143
RXM,SSL,143
SSL,KBN,139
SSL,PMPR,4
KBN,AUNG,143
KBN,PMPR,4
AUNG,BKO,143
BKO,KSQ,143
KSQ,MWH,143
MWH,KKS,143
KKS,FTP,142
FTP,RAMA,141
RAMA,FYZ,141
FYZ,RUB,141
RUB,SNIE,141
SNIE,KGA,141
KGA,KTCE,141
KTCE,KUW,141
KUW,ASCE,141
ASCE,SRO,141
SRO,SJT,141
SJT,BDNP,141
BDNP,BRE,141
BRE,MNJ,141
MNJ,SYWN,141
SYWN,MRE,141
MRE,BMU,141
BMU,SFG,141
COI,KCN,171
KCN,BEP,171
BEP,MJA,171
MJA,UND,171
UND,MNF,171
MNF,JIA,171
JIA,GAE,171
GAE,BEO,171
BEO,BDL,170
BDL,MZP,169
MZP,JHG,169
JHG,PRE,169
PRE,DAP,169
DAP,CAR,168
CAR,KYT,153
CAR,SKGH,17
CAR,KEI,1
CAR,LUSA,1
KYT,ARW,153
ARW,JEP,145
ARW,VYN,8
JEP,MGS,144
MGS,GAQ,105
MGS,VYN,82
GAQ,CDMR,108
CDMR,SYJ,107
CDMR,KMS,1
SYJ,KMS,107
SYJ,KOAA,1
KMS,DCX,108
DCX,DGO,108
DGO,BBU,108
BBU,MTGE,108
MTGE,PSE,108
PSE,KTQ,108
KTQ,KVD,108
KVD,SSG,108
SSG,KMGE,108
KMGE,SSM,107
SSM,KWD,104
SSM,KADH,4
KWD,PHE,104
PHE,DOS,103
DOS,SEB,114
DOS,SGRL,1
DOS,BRKA,1
SEB,AUBR,103
SEB,BSYA,19
SEB,CPBH,1
SEB,BCJ,2
AUBR,PES,104
AUBR,CPBH,1
PES,BHKH,104
BHKH,JHN,104
JHN,DORD,98
JHN,RFJ,6
DORD,RFJ,98
RFJ,IMGE,104
IMGE,GRRU,102
IMGE,PRY,2
GRRU,PRY,102
GRRU,PNBE,2
PRY,KSTA,104
KSTA,GAYA,96
GAYA,MPO,102
GAYA,CKH,27
MPO,BNF,95
MPO,KRJR,17
MPO,PMI,1
BNF,TKN,95
TKN,BNSL,95
BNSL,PRP,95
PRP,GAP,95
GAP,DLW,95
DLW,GJD,95
GJD,KQR,94
KQR,HRE,91
KQR,BKSC,4
HRE,SMND,91
SMND,YDD,91
YDD,PSB,91
PSB,HZD,91
HZD,CBH,96
CBH,CCK,91
CCK,CDB,91
CDB,PNME,91
PNME,NMG,91
KPK,RNG,158
KPK,UDL,1
RNG,UDL,152
RNG,DGR,5
RNG,RXL,1
UDL,OYR,163
UDL,KJME,15
OYR,DGR,163
DGR,RBH,139
DGR,KJME,5
DGR,KOAA,2
RBH,PAN,139
PAN,MNAE,139
MNAE,PAJ,139
PAJ,GLI,139
GRP,SKG,184
SKG,PRAE,113
SKG,PLAE,71
PRAE,CHC,113
CHC,MSAE,113
MSAE,NBAE,113
NBAE,JRAE,113
JRAE,JPQ,113
JPQ,GRAE,113
GRAE,HIH,113
HIH,SHBC,113
SHBC,DNHL,113
DNHL,BMAE,113
BMAE,PBZ,113
PBZ,CDAE,113
CDAE,MDSE,112
MDSE,KQU,113
KQU,BLAE,113
KQU,SIU,2
KQU,NKL,2
BLAE,MBE,113
MBE,BRPA,113
BRPA,BPAE,113
BPAE,JOX,113
JOX,GBRA,113
GBRA,DKAE,113
DKAE,RCD,28
DKAE,BZL,86
RCD,BLYH,29
BLYH,BLYG,29
BLYG,DAKE,29
DAKE,BARN,29
LPI,NPL,57
NLRD,KQD,106
KQD,LKPL,106
LKPL,HYB,53
HYB,RU,1
LGDH,MJF,51
MJF,DYE,40
MJF,CHZ,11
DYE,SFX,40
SFX,RKO,40
RKO,AMQ,40
AMQ,CVB,40
CVB,ALW,40
ALW,BOZ,40
BOZ,BMO,38
BMO,GOPL,36
GOPL,GDPL,34
GOPL,GWV,2
GDPL,GWV,34
GWV,MED,35
MED,DBV,34
DBV,MOB,34
MOB,PAPM,34
PAPM,BMPL,34
BMPL,ME,34
ME,SHAN,34
SHAN,WDR,34
WDR,MZL,33
MZL,AKE,32
AKE,BKU,32
BKU,THPR,32
THPR,TMD,32
TMD,KMC,31
KMC,UPW,31
UPW,SCP,32
SCP,IDL,32
IDL,DHP,32
DHP,NZB,31
NZB,JKM,35
NZB,NVT,1
JKM,NVT,33
JKM,YDP,6
JKM,FKB,1
NVT,FKB,33
FKB,BSX,34
BSX,DAB,34
DAB,SQE,35
SQE,KEK,36
KEK,BLSA,36
BLSA,UMRI,36
UMRI,SLGH,36
SLGH,SVN,36
SVN,MUE,36
MUE,MGC,46
MUE,BMBE,14
MGC,PARD,46
PARD,NED,41
NED,WNG,43
WNG,LBG,52
LBG,CRU,52
CRU,PAU,50
PAU,BMF,8
PAU,MQL,47
PAU,MRV,4
BMF,BLC,8
BMF,CWI,6
BMF,MRV,6
BLC,HNL,8
BLC,NDPR,6
BLC,SIF,6
HNL,WHM,8
HNL,NVLN,6
HNL,DNE,6
WHM,JUK,8
WHM,KXX,6
WHM,KKG,6
JUK,BSQ,8
JUK,AMW,6
JUK,KXX,6
BSQ,AK,7
BSQ,SVW,6
BSQ,LHD,6
AK,GAO,89
AK,YAD,87
AK,SVW,3
AK,UGWE,4
GAO,PS,89
PS,NGZ,89
NGZ,SEG,89
SEG,JM,88
SEG,NN,1
JM,NN,88
NN,KJL,89
KJL,BIS,89
BIS,MKU,89
MKU,KMKD,89
KMKD,BDWD,89
BDWD,ACG,89
ACG,VNA,89
PRKD,HBD,190
HBD,BNI,190
BNI,BKA,190
BKA,ODG,190
ODG,MDDP,189
ODG,MSO,1
MDDP,MSO,189
MDDP,INDB,1
MSO,HBJ,187
HBJ,BPL,187
BPL,BIH,47
BPL,SUW,178
BPL,CAG,1
BPL,APR,1
BIH,BQE,51
BQE,PUD,51
PUD,PNWN,51
PNWN,SEH,51
SEH,BKTL,51
BKTL,PRB,51
PRB,JBX,51
JBX,KPP,51
KPP,CKOD,51
CKOD,SJP,51
SJP,MQE,51
MQE,AKD,51
AKD,BLX,51
BLX,KSH,51
KSH,KONY,51
KONY,BCH,51
BCH,PUO,51
PUO,MKC,51
MKC,TAN,61
MKC,CAZ,23
MKC,RCJ,15
MKC,SYO,1
TAN,SVT,61
SVT,TJP,61
TJP,PLW,61
PLW,UJN,59
UJN,NKI,57
UJN,VRG,43
UJN,INDB,2
UJN,CNN,4
UJN,LOD,1
NKI,ASL,61
NKI,VRG,2
ASL,PSO,61
PSO,UNL,61
UNL,PPG,61
PPG,BTSD,61
BTSD,NAD,57
NAD,BRNA,108
NAD,RLK,99
BRNA,KUH,109
KUH,RNH,109
RNH,BOD,109
BOD,RTM,107
RTM,NLI,15
RTM,MRN,100
RTM,NGW,7
NLI,BRLA,18
BRLA,JAO,18
JAO,DOD,18
DOD,KCNR,18
KCNR,DLD,18
DLD,MDS,18
MDS,PIP,18
PIP,MLG,18
MLG,HKL,18
HKL,NMH,18
NMH,BIWK,21
BIWK,JWO,24
JWO,NBH,24
NBH,GRF,24
GRF,SMP,24
SMP,ORDI,24
ORDI,COR,21
ORDI,CNA,1
ORDI,GSD,1
COR,CNA,30
COR,GSD,17
COR,UDZ,1
CNA,GGR,22
CNA,BSSL,10
CNA,GSD,1
GGR,SNYN,22
SNYN,HMG,22
HMG,MDPA,22
MDPA,BHL,22
BHL,MDL,22
MDL,LMA,22
LMA,RLR,22
RLR,SSR,22
SSR,RPI,22
RPI,GBP,22
GBP,BJNR,22
BJNR,MAKH,22
MAKH,SGW,22
SGW,BDW,22
BDW,JWS,22
JWS,NSD,22
NSD,ROS,22
ROS,HTD,22
HTD,AHO,22
MAQ,TKOT,17
TKOT,ULL,32
ULL,MJS,70
MJS,UAA,70
UAA,KMQ,70
KMQ,KGQ,70
KGQ,KLAD,70
KLAD,KQK,70
KQK,BFR,70
BFR,KZE,70
KZE,NLE,70
NLE,CHV,70
CHV,CDRA,69
CDRA,TKQ,70
TKQ,PAY,70
PAY,ELM,70
ELM,PAZ,70
PAZ,KPQ,70
KPQ,PPNS,70
PPNS,VAPM,70
VAPM,CQL,70
CQL,CAN,68
DGHA,TKRA,5
TKRA,RMRB,11
RMRB,BDPA,11
BDPA,SJPA,11
SJPA,KATI,11
KATI,DSPN,11
DSPN,NDKR,11
NDKR,TMZ,11
TMZ,SMTG,15
TMZ,KSBP,4
SMTG,RGA,15
RGA,RGX,15
RGX,PKU,15
PKU,HAUR,137
PKU,KHAI,2
LLH,BEQ,147
BEQ,BLY,147
BLY,UPA,61
BLY,BZL,86
UPA,HMZ,61
HMZ,KOG,61
KOG,RIS,61
RIS,SRP,61
SRP,SHE,61
SHE,BBAE,57
SHE,DEA,4
BBAE,BHR,57
BHR,MUU,57
MUU,CGR,57
CGR,CNS,57
CNS,HGY,56
CNS,MUG,1
HGY,BDC,56
BDC,ADST,72
BDC,HYG,32
BDC,BSAE,22
BDC,KOAA,2
ADST,MUG,72
MUG,TLO,73
TLO,KHN,73
KHN,PDA,73
PDA,SLG,72
PDA,BOI,1
SLG,BCGM,72
BCGM,BOI,72
BOI,DBP,72
BOI,MYM,1
DBP,BGF,72
BGF,MYM,71
MYM,NMF,71
NMF,RSLR,71
RSLR,PLAE,71
VYN,KEI,93
JNU,KS,40
JNU,MFJ,2
JNU,YDV,1
KS,MGWN,49
KS,MNKN,3
MGWN,MIH,49
MIH,SHG,40
MIH,MNKN,3
SHG,BWI,51
SHG,DJD,22
BWI,TLGR,51
TLGR,MLPR,51
MLPR,JFG,51
JFG,ABP,51
ABP,KTHE,51
KTHE,GGJ,51
GGJ,ULN,51
ULN,BLG,51
BLG,DRG,51
DRG,AY,51
AY,ACND,55
AY,KEA,15
ACND,FD,52
FD,SLRP,50
FD,BTKD,4
FD,MSOD,2
SLRP,SLW,53
SLW,DELO,53
DELO,BNM,53
BNM,GMU,53
GMU,RDL,53
RDL,RZN,53
RZN,PTH,53
PTH,DYD,53
DYD,SYK,53
SYK,SGJ,53
SGJ,RES,53
ATMO,PRI,68
PRI,IKK,68
IKK,JWP,68
JWP,HW,56
HW,MOTC,48
HW,NZM,1
MOTC,RWL,51
RWL,QSR,39
RWL,VRH,12
QSR,DWO,39
DWO,HRW,39
HRW,DDN,19
BSW,NCB,4
BSW,APD,4
NCB,NBS,72
NCB,PQZ,71
NCB,COB,1
APD,APDC,4
APDC,APDJ,3
KOAA,PTKR,17
KOAA,TALA,1
GFAE,HYG,32
SLS,RNPR,119
RNPR,CRJ,117
CRJ,JMT,117
JMT,KEE,117
KEE,VDS,117
VDS,MNC,117
MNC,JRW,117
JRW,MDP,116
JRW,JDPR,1
MDP,MUW,116
MDP,JGD,2
MDP,SGPA,4
MDP,GRD,2
MUW,SNQ,117
MUW,JGD,1
SNQ,KBQ,117
KBQ,JSME,114
JSME,LHB,108
JSME,SSNR,12
JSME,DGHR,2
LHB,STL,111
STL,NRGO,111
NRGO,JAJ,108
JAJ,GHR,101
JAJ,DPX,7
JAJ,JMU,1
GHR,CUX,112
GHR,DPX,11
CUX,JMU,112
JMU,BFM,111
JMU,KDER,1
JMU,MNP,1
BFM,MNP,112
BFM,KDER,1
MNP,BSQP,112
MNP,KIUL,1
BSQP,KIUL,110
BSQP,DNRE,1
BSQP,LCK,1
KIUL,LKR,155
KIUL,DNRE,47
KIUL,RMPR,1
KIUL,RNC,1
KIUL,UREN,3
KIUL,MHLT,1
LKR,MKB,141
LKR,SRY,15
LKR,KRTR,1
LKR,GSDH,2
MKB,DMRX,72
MKB,BRYA,69
DMRX,BRYA,72
BRYA,RDUM,121
BRYA,HTZ,20
RDUM,HTZ,118
RDUM,RJO,2
RDUM,ANAH,1
HTZ,RJO,80
HTZ,ANAH,130
HTZ,PNBE,1
RJO,SAE,85
RJO,ANAH,4
RJO,GHX,1
SAE,GHX,86
SAE,HTZU,1
GHX,BJU,87
BJU,TGA,95
BJU,BUJ,9
BJU,TIL,75
BJU,MKA,1
TGA,BCA,116
TGA,BUJ,16
BCA,STJT,86
BCA,VPN,30
STJT,DSS,86
DSS,NAZJ,86
NAZJ,UJP,86
UJP,SPJ,83
SPJ,KPGM,79
SPJ,MKPR,52
SPJ,BGDS,17
SPJ,KSP,3
SPJ,SHC,1
KPGM,KRBP,84
KPGM,MKPR,1
KRBP,DUBH,84
DUBH,DOL,84
DOL,SIHO,84
SIHO,SLT,84
SLT,NRPA,84
KRTH,SAHL,126
KRTH,TAKU,5
SAHL,KQE,128
SAHL,TAKU,1
KQE,DOH,132
KQE,TAKU,4
DOH,BBTR,132
BBTR,GDYA,132
GDYA,DHQ,132
DHQ,MJY,132
MJY,BZU,132
BZU,MALK,133
MALK,BYS,134
BYS,AMLA,131
BYS,JKR,1
BYS,JMV,1
AMLA,JKR,123
AMLA,JMV,10
JKR,MTY,125
MTY,HTN,125
HTN,CCD,125
CCD,GDKP,125
GDKP,TEO,125
TEO,PAR,125
PAR,DDMT,125
DDMT,NRKR,125
NRKR,TNH,125
TNH,KLBA,125
KLBA,KATL,125
KATL,MER,125
MER,SNKB,125
SNKB,KOHL,125
KOHL,KSWR,125
KSWR,BWRA,125
BWRA,GNQ,125
GNQ,NGP,120
NGP,AJNI,177
NGP,ITR,65
NGP,BUX,1
AJNI,KRI,189
KRI,GMG,189
GMG,BTBR,189
BTBR,BOK,189
BOK,SNI,189
SNI,TGP,189
TGP,SLOR,189
SLOR,SEGM,189
SEGM,BPK,119
SEGM,WR,81
BPK,SNN,123
BPK,WR,4
SNN,HGT,123
HGT,NGI,123
NGI,CKNI,122
CKNI,WRR,123
WRR,MJRI,123
MJRI,BUX,116
MJRI,WANI,6
MJRI,TAE,1
BUX,TAE,113
TAE,CD,117
CD,BUPH,117
BUPH,VSP,119
BUPH,GNVR,6
BUPH,CAF,8
VSP,GNVR,119
GNVR,BPQ,123
BPQ,MAGH,123
MAGH,VHGN,125
VHGN,WIRR,125
WIRR,MKDI,125
MKDI,SRUR,125
SRUR,SKZR,126
SKZR,ASAF,128
ASAF,RECH,129
RECH,BPA,129
BPA,MMZ,129
MMZ,RVKH,129
RVKH,MCI,129
MCI,PPZ,130
PPZ,RDM,131
RDM,RGPM,131
RGPM,PDPL,131
PDPL,KYOP,131
KYOP,KOLR,131
KOLR,OEA,131
OEA,PTKP,131
PTKP,BGSF,131
BGSF,JMKT,131
JMKT,OPL,131
OPL,HSP,131
HSP,KZJT,77
HSP,KZJ,52
KZJT,WL,77
WL,CLE,133
WL,KZJ,54
CLE,YGL,133
YGL,NKD,133
NKD,INK,133
INK,KDM,133
KDM,TAA,133
TAA,MABD,133
MABD,GUU,133
GUU,GLA,133
GLA,DKJ,132
GLA,PCZ,1
DKJ,PPY,125
DKJ,PCZ,13
DKJ,MUGR,1
PPY,MLMG,125
MLMG,KMT,125
KMT,PNDP,125
PNDP,CKN,125
CKN,NVC,125
NVC,BKL,125
BKL,MTMI,125
MTMI,MDR,125
MDR,TNGM,125
TNGM,YP,125
YP,GNN,125
GNN,CVV,125
CVV,KI,125
KI,RYP,125
RYP,BZA,121
BZA,KCC,201
BZA,RMV,26
BZA,GALA,122
BZA,STPM,3
KCC,KAQ,162
KCC,MAG,44
KCC,TEL,3
KAQ,PVD,162
PVD,CLVR,162
CLVR,DIG,162
DIG,KLX,162
KLX,TEL,162
TEL,TSR,179
TEL,AKU,24
TEL,CIV,5
TSR,MDKU,179
MDKU,NDO,179
NDO,MCVM,179
MCVM,APL,179
APL,BPP,179
BPP,SPF,179
SPF,IPPM,179
IPPM,IPPN,179
IPPN,CLX,179
CLX,JAQ,179
JAQ,VTM,179
VTM,KPLL,179
KPLL,KVDU,179
KVDU,CJM,179
CJM,UGD,179
UGD,RPRL,179
RPRL,ANB,179
ANB,KRV,179
KRV,OGL,179
OGL,SDM,179
SDM,TNR,179
TNR,SKM,179
SKM,UPD,179
UPD,TTU,179
TTU,KVZ,179
KVZ,SVPM,179
SVPM,BTTR,177
BTTR,AXR,177
AXR,TMC,177
TMC,KJJ,177
KJJ,PGU,177
PGU,NLR,177
NLR,NLS,177
NLS,VDE,177
VDE,VKT,177
VKT,MBL,177
MBL,GDR,173
MBL,TPTY,1
MBL,KQA,1
GDR,ODUR,101
GDR,KQA,71
GDR,COA,1
ODUR,PYA,102
PYA,NYP,102
NYP,DVR,102
DVR,PEL,102
PEL,SPE,102
SPE,AKAT,113
AKAT,TADA,112
TADA,AKM,113
AKM,ELR,113
ELR,GPD,112
GPD,KVP,112
KVP,PON,112
PON,APB,113
APB,MJR,113
MJR,NPKM,113
NPKM,AIP,113
AIP,ENR,102
AIP,AIPP,11
ENR,KAVM,113
ENR,AIPP,11
KAVM,WCN,113
WCN,TVT,113
TVT,VOC,113
VOC,TNP,113
TNP,KOK,113
KOK,WST,25
KOK,BBQ,80
KOK,MAS,7
KOK,VJM,1
WST,RPM,29
WST,VJM,2
WST,PER,2
RPM,MSB,27
MSB,MSF,143
MSB,VDR,1
MSF,MPK,13
MSF,MPKT,142
MPK,MPKT,69
MPK,MS,77
CHRM,PRDL,7
CHRM,APR,1
PRDL,MDGR,13
MDGR,BRND,13
BRND,BJRI,18
BRND,UKR,8
BJRI,BATL,18
BATL,KTMA,18
KTMA,HRV,18
HRV,DRSN,18
DRSN,MZH,18
MZH,APR,16
MZH,AAL,2
APR,AAL,38
APR,CLF,34
AAL,BUH,40
BUH,SNGP,39
BUH,CHDX,1
SNGP,SDL,39
SNGP,CHDX,1
SDL,BDWA,38
BDWA,GGT,38
GGT,MDXR,38
MDXR,BRS,38
BRS,NRZB,38
NRZB,KKI,38
KKI,UMR,38
UMR,LOA,38
LOA,CHD,37
CHD,VYK,36
VYK,RPD,36
RPD,JLW,36
JLW,NKJ,41
JLW,KTKD,6
NKJ,KMZ,16
NKJ,KTKD,2
KMZ,HDU,35
KMZ,MJGP,1
HDU,PTHD,38
HDU,MJGP,3
PTHD,REI,38
REI,BQQ,38
BQQ,SYA,38
SYA,RTGN,38
RTGN,SAO,38
SAO,GEA,38
GEA,BNU,38
BNU,KYX,38
KYX,DMO,37
AOR,RNC,31
AOR,PIS,8
AOR,HTE,16
RNC,NKM,53
RNC,HTE,4
RNC,KLRE,2
PIS,ITKY,8
ITKY,TGB,8
TGB,NRKP,8
NRKP,NJA,8
NJA,AKZ,8
AKZ,IRN,8
IRN,LAD,5
BGM,SXB,42
BGM,DUR,40
SXB,SBH,44
SBH,SUL,44
SUL,PCH,44
PCH,PRKH,44
PRKH,GKK,44
GKK,GPB,44
GPB,BGWD,44
BGWD,CKR,44
CKR,RBG,44
RBG,CNC,44
CNC,KUD,44
KUD,UGR,44
UGR,SED,44
SED,VJR,44
VJR,MRJ,38
VPN,HBP,30
HBP,MOG,30
MOG,NNNL,30
NNNL,SPP,30
SPP,MNO,30
MNO,SDG,30
SDG,DES,30
DES,CSR,30
CSR,AYRN,30
ST,UDN,214
ST,URN,206
UDN,BHET,189
UDN,NOL,49
BHET,SCH,189
SCH,MRL,189
MRL,NVS,189
NVS,VDH,189
VDH,ACL,189
ACL,AML,189
AML,BIM,188
AML,JRS,1
BIM,JRS,188
JRS,DGI,189
DGI,BL,183
BL,ATUL,178
ATUL,PAD,180
PAD,UVD,180
UVD,VAPI,180
VAPI,KEB,179
VAPI,BLD,2
KEB,BLD,179
KEB,NDB,1
BLD,SJN,180
SJN,UBR,180
UBR,BRRD,180
BRRD,GVD,180
GVD,DRD,180
DRD,VGN,182
VGN,BOR,184
BOR,UOI,184
UOI,PLG,184
PLG,KLV,184
KLV,SAH,184
SAH,VTN,184
VTN,VR,179
MGI,SKI,8
MGI,LNO,16
SKI,KKHT,10
SKI,PDW,21
SKI,TRS,12
SKI,SSNS,4
SKI,UGNA,3
SKI,BIRL,1
LNO,JJP,16
JJP,TMA,10
JJP,MHRL,1
TMA,GGH,10
GGH,NMA,5
MAN,VTA,172
VTA,GER,172
GER,BJD,172
BJD,KANJ,172
KANJ,NEP,171
KANJ,MHD,1
NEP,MHD,171
MHD,GTE,172
GTE,ND,172
ND,UTD,172
ND,PTD,1
ND,MHUA,1
UTD,KBRV,172
KBRV,ANND,175
KBRV,VTL,2
ANND,VXD,175
ANND,SNA,2
VXD,ADD,176
ADD,VDA,176
VDA,NDR,180
VDA,BETI,4
NDR,RNO,180
RNO,BJW,180
BJW,BRC,173
BJW,CYI,3
BRC,VS,207
BRC,CYI,95
BRC,OKHA,1
BRC,GIMB,1
BRC,INDB,1
VS,MPR,210
VS,CYI,1
MPR,VRM,210
VRM,ITA,210
ITA,KSPR,210
KSPR,MYG,210
MYG,MYGL,193
MYG,LKD,18
MYGL,LKD,192
MYGL,DB,5
MYGL,SINR,2
LKD,PLJ,210
PLJ,VRE,210
VRE,NIU,210
NIU,CVJ,210
CVJ,BH,208
CVJ,AKV,1
BH,AKV,209
BH,BCT,1
BH,SAZ,1
AKV,PAO,212
PAO,HAT,212
HAT,KSB,212
KSB,KIM,212
KSB,VKL,1
KIM,KDSD,212
KDSD,SYN,212
SYN,GTX,212
GTX,KSE,212
KSE,URN,212
VR,NSP,174
NSP,BSR,174
BSR,NIG,108
BSR,JCNR,66
NIG,BYR,108
